title,genre,original_language,release_date,ratings
The Shawshank Redemption,"Drama,Crime",en,1994-09-23,8.7
Dilwale Dulhania Le Jayenge,"Comedy,Drama,Romance",hi,1995-10-19,8.7
The Godfather,"Drama,Crime",en,1972-03-14,8.7
Schindler's List,"Drama,History,War",en,1993-12-15,8.6
The Godfather: Part II,"Drama,Crime",en,1974-12-20,8.6
Impossible Things,"Family,Drama",es,2021-06-17,8.6
Spirited Away,"Animation,Family,Fantasy",ja,2001-07-20,8.5
Your Eyes Tell,"Romance,Drama",ja,2020-10-23,8.5
Dou kyu sei – Classmates,"Romance,Animation",ja,2016-02-20,8.5
Your Name.,"Romance,Animation,Drama",ja,2016-08-26,8.5
12 Angry Men,Drama,en,1957-04-10,8.5
Gabriel's Inferno,Romance,en,2020-05-29,8.5
Parasite,"Comedy,Thriller,Drama",ko,2019-05-30,8.5
The Green Mile,"Fantasy,Drama,Crime",en,1999-12-10,8.5
Gabriel's Inferno: Part II,Romance,en,2020-07-31,8.5
The Dark Knight,"Drama,Action,Crime,Thriller",en,2008-07-14,8.5
"The Good, the Bad and the Ugly",Western,it,1966-12-23,8.5
Pulp Fiction,"Thriller,Crime",en,1994-09-10,8.5
The Lord of the Rings: The Return of the King,"Adventure,Fantasy,Action",en,2003-12-01,8.5
Gabriel's Inferno: Part III,"Romance,Comedy",en,2020-11-19,8.5
Forrest Gump,"Comedy,Drama,Romance",en,1994-06-23,8.5
Cinema Paradiso,"Drama,Romance",it,1988-11-17,8.5
Seven Samurai,"Action,Drama",ja,1954-04-26,8.5
GoodFellas,"Drama,Crime",en,1990-09-12,8.5
Violet Evergarden: The Movie,"Animation,Fantasy,Romance,Drama",ja,2020-09-18,8.5
Life Is Beautiful,"Comedy,Drama",it,1997-12-20,8.5
Once Upon a Time in America,"Drama,Crime",en,1984-05-23,8.5
Harakiri,"Action,Drama,History",ja,1962-09-15,8.4
Psycho,"Horror,Drama,Thriller",en,1960-06-22,8.4
"Josee, the Tiger and the Fish","Animation,Drama,Romance",ja,2020-12-25,8.4
A Dog's Will,"Comedy,Drama,Fantasy",pt,2000-09-15,8.4
Grave of the Fireflies,"Animation,Drama,War",ja,1988-04-16,8.4
One Flew Over the Cuckoo's Nest,Drama,en,1975-05-18,8.4
Fight Club,Drama,en,1999-10-15,8.4
Evangelion: 3.0+1.0 Thrice Upon a Time,"Animation,Action,Science Fiction,Drama",ja,2021-03-08,8.4
Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction",en,2018-12-06,8.4
City of God,"Drama,Crime",pt,2002-02-05,8.4
Hope,Drama,ko,2013-10-02,8.4
A Silent Voice: The Movie,"Animation,Drama,Romance",ja,2016-09-17,8.4
Hotarubi no Mori e,"Romance,Animation,Fantasy",ja,2011-09-17,8.4
